DistilBERT Weight,TF-IDF Weight,Accuracy,Precision,Recall,F1,Threshold,Threshold Distance,Weight Balance Distance
0.15000000000000002,0.85,0.892,0.9034907597535934,0.8782435129740519,0.8906882591093117,0.5150000000000001,0.015000000000000124,0.35
0.275,0.725,0.888,0.8718929254302104,0.9101796407185628,0.890625,0.48000000000000015,0.01999999999999985,0.22499999999999998
0.1,0.9,0.888,0.8718929254302104,0.9101796407185628,0.890625,0.48000000000000015,0.01999999999999985,0.4
0.2,0.8,0.887,0.8646616541353384,0.9181636726546906,0.8906098741529526,0.46500000000000014,0.034999999999999865,0.3
0.15000000000000002,0.85,0.893,0.9138655462184874,0.8682634730538922,0.8904810644831116,0.5350000000000001,0.03500000000000014,0.35
0.125,0.875,0.892,0.9051546391752577,0.8762475049900199,0.8904665314401623,0.5250000000000001,0.025000000000000133,0.375
0.15000000000000002,0.85,0.888,0.8733205374280231,0.908183632734531,0.8904109589041096,0.48500000000000015,0.014999999999999847,0.35
0.1,0.9,0.888,0.8733205374280231,0.908183632734531,0.8904109589041096,0.48500000000000015,0.014999999999999847,0.4
0.2,0.8,0.886,0.8589981447124304,0.9241516966067864,0.8903846153846153,0.46000000000000013,0.03999999999999987,0.3
0.275,0.725,0.892,0.906832298136646,0.874251497005988,0.8902439024390244,0.5200000000000002,0.02000000000000024,0.22499999999999998
0.15000000000000002,0.85,0.891,0.8983739837398373,0.8822355289421158,0.8902316213494461,0.5100000000000002,0.010000000000000231,0.35
0.275,0.725,0.89,0.8902195608782435,0.8902195608782435,0.8902195608782435,0.5000000000000002,2.220446049250313e-16,0.22499999999999998
0.15000000000000002,0.85,0.888,0.8747591522157996,0.906187624750499,0.8901960784313725,0.49000000000000016,0.009999999999999842,0.35
0.125,0.875,0.887,0.8674242424242424,0.9141716566866267,0.8901846452866861,0.48000000000000015,0.01999999999999985,0.375
0.275,0.725,0.887,0.8674242424242424,0.9141716566866267,0.8901846452866861,0.47500000000000014,0.024999999999999856,0.22499999999999998
0.225,0.775,0.886,0.8603351955307262,0.9221556886227545,0.8901734104046243,0.46500000000000014,0.034999999999999865,0.275
0.2,0.8,0.885,0.8534798534798534,0.9301397205588823,0.8901623686723973,0.4550000000000001,0.04499999999999987,0.3
0.15000000000000002,0.85,0.892,0.9085239085239085,0.872255489021956,0.890020366598778,0.5300000000000002,0.03000000000000025,0.35
0.15000000000000002,0.85,0.888,0.8762088974854932,0.9041916167664671,0.8899803536345776,0.49500000000000016,0.004999999999999838,0.35
0.15000000000000002,0.85,0.886,0.8616822429906542,0.9201596806387226,0.88996138996139,0.46500000000000014,0.034999999999999865,0.35
0.125,0.875,0.889,0.8853754940711462,0.8942115768463074,0.8897715988083416,0.5000000000000002,2.220446049250313e-16,0.375
0.30000000000000004,0.7,0.886,0.8630393996247655,0.9181636726546906,0.8897485493230174,0.46500000000000014,0.034999999999999865,0.19999999999999996
0.25,0.75,0.892,0.9119496855345912,0.8682634730538922,0.8895705521472392,0.5250000000000001,0.025000000000000133,0.25
0.225,0.775,0.886,0.864406779661017,0.9161676646706587,0.8895348837209303,0.47000000000000014,0.02999999999999986,0.275
0.2,0.8,0.886,0.864406779661017,0.9161676646706587,0.8895348837209303,0.47000000000000014,0.02999999999999986,0.3
0.225,0.775,0.885,0.8574074074074074,0.9241516966067864,0.8895292987512008,0.46000000000000013,0.03999999999999987,0.275
0.17500000000000002,0.825,0.885,0.8574074074074074,0.9241516966067864,0.8895292987512008,0.46000000000000013,0.03999999999999987,0.32499999999999996
0.15000000000000002,0.85,0.884,0.8519195612431444,0.9301397205588823,0.8893129770992366,0.4500000000000001,0.04999999999999988,0.35
0.225,0.775,0.892,0.9154334038054969,0.8642714570858283,0.8891170431211499,0.5300000000000002,0.03000000000000025,0.275
0.17500000000000002,0.825,0.892,0.9154334038054969,0.8642714570858283,0.8891170431211499,0.5350000000000001,0.03500000000000014,0.32499999999999996
0.275,0.725,0.887,0.8745173745173745,0.9041916167664671,0.8891069676153092,0.48500000000000015,0.014999999999999847,0.22499999999999998
0.225,0.775,0.886,0.8671726755218216,0.9121756487025948,0.8891050583657587,0.47500000000000014,0.024999999999999856,0.275
0.15000000000000002,0.85,0.892,0.9171974522292994,0.8622754491017964,0.8888888888888888,0.5400000000000003,0.04000000000000026,0.35
0.125,0.875,0.89,0.8997955010224948,0.8782435129740519,0.8888888888888888,0.5200000000000002,0.02000000000000024,0.375
0.1,0.9,0.884,0.8558225508317929,0.9241516966067864,0.8886756238003839,0.46500000000000014,0.034999999999999865,0.4
0.15000000000000002,0.85,0.884,0.8558225508317929,0.9241516966067864,0.8886756238003839,0.4550000000000001,0.04499999999999987,0.35
0.30000000000000004,0.7,0.885,0.8627819548872181,0.9161676646706587,0.888673765730881,0.47000000000000014,0.02999999999999986,0.19999999999999996
0.25,0.75,0.885,0.8627819548872181,0.9161676646706587,0.888673765730881,0.47000000000000014,0.02999999999999986,0.25
0.30000000000000004,0.7,0.886,0.869980879541109,0.908183632734531,0.888671875,0.48000000000000015,0.01999999999999985,0.19999999999999996
0.275,0.725,0.887,0.877431906614786,0.9001996007984032,0.8886699507389163,0.49000000000000016,0.009999999999999842,0.22499999999999998
0.2,0.8,0.892,0.9189765458422174,0.8602794411177644,0.8886597938144329,0.5350000000000001,0.03500000000000014,0.3
0.125,0.875,0.884,0.8571428571428571,0.9221556886227545,0.8884615384615384,0.46500000000000014,0.034999999999999865,0.375
0.17500000000000002,0.825,0.892,0.9207708779443254,0.8582834331337326,0.8884297520661157,0.5450000000000002,0.04500000000000015,0.32499999999999996
0.1,0.9,0.883,0.8516483516483516,0.9281437125748503,0.8882521489971347,0.46000000000000013,0.03999999999999987,0.4
0.15000000000000002,0.85,0.884,0.8584729981378026,0.9201596806387226,0.8882466281310212,0.46000000000000013,0.03999999999999987,0.35
0.30000000000000004,0.7,0.885,0.865530303030303,0.9121756487025948,0.8882410106899903,0.47500000000000014,0.024999999999999856,0.19999999999999996
0.30000000000000004,0.7,0.89,0.9047619047619048,0.872255489021956,0.8882113821138211,0.5200000000000002,0.02000000000000024,0.19999999999999996
0.15000000000000002,0.85,0.882,0.8462929475587704,0.9341317365269461,0.888045540796964,0.4450000000000001,0.05499999999999988,0.35
0.07500000000000001,0.925,0.883,0.8529411764705882,0.9261477045908184,0.8880382775119617,0.46000000000000013,0.03999999999999987,0.425
0.225,0.775,0.883,0.8529411764705882,0.9261477045908184,0.8880382775119617,0.4550000000000001,0.04499999999999987,0.275
0.275,0.725,0.89,0.9064449064449065,0.8702594810379242,0.8879837067209776,0.5250000000000001,0.025000000000000133,0.22499999999999998
0.1,0.9,0.882,0.8475499092558983,0.9321357285429142,0.8878326996197718,0.4500000000000001,0.04999999999999988,0.4
0.30000000000000004,0.7,0.889,0.8995901639344263,0.8762475049900199,0.8877654196157735,0.5150000000000001,0.015000000000000124,0.19999999999999996
0.2,0.8,0.882,0.848816029143898,0.9301397205588823,0.8876190476190476,0.4500000000000001,0.04999999999999988,0.3
0.125,0.875,0.882,0.848816029143898,0.9301397205588823,0.8876190476190476,0.4500000000000001,0.04999999999999988,0.375
0.07500000000000001,0.925,0.883,0.8555555555555555,0.9221556886227545,0.8876080691642652,0.46500000000000014,0.034999999999999865,0.425
0.275,0.725,0.883,0.8555555555555555,0.9221556886227545,0.8876080691642652,0.46000000000000013,0.03999999999999987,0.22499999999999998
0.25,0.75,0.883,0.8555555555555555,0.9221556886227545,0.8876080691642652,0.46000000000000013,0.03999999999999987,0.25
0.125,0.875,0.886,0.8771929824561403,0.8982035928143712,0.8875739644970414,0.49500000000000016,0.004999999999999838,0.375
0.17500000000000002,0.825,0.891,0.9188034188034188,0.8582834331337326,0.8875128998968008,0.5400000000000003,0.04000000000000026,0.32499999999999996
0.225,0.775,0.882,0.850091407678245,0.9281437125748503,0.8874045801526718,0.4500000000000001,0.04999999999999988,0.275
0.17500000000000002,0.825,0.882,0.850091407678245,0.9281437125748503,0.8874045801526718,0.4500000000000001,0.04999999999999988,0.32499999999999996
0.25,0.75,0.883,0.8568773234200744,0.9201596806387226,0.8873917228103946,0.46500000000000014,0.034999999999999865,0.25
0.25,0.75,0.89,0.911578947368421,0.8642714570858283,0.8872950819672131,0.5300000000000002,0.03000000000000025,0.25
0.125,0.875,0.882,0.8513761467889909,0.9261477045908184,0.887189292543021,0.4550000000000001,0.04499999999999987,0.375
0.1,0.9,0.883,0.8582089552238806,0.9181636726546906,0.8871745419479267,0.47000000000000014,0.02999999999999986,0.4
0.30000000000000004,0.7,0.885,0.8725868725868726,0.9021956087824351,0.887144259077527,0.48500000000000015,0.014999999999999847,0.19999999999999996
0.1,0.9,0.886,0.8801571709233792,0.8942115768463074,0.8871287128712871,0.49500000000000016,0.004999999999999838,0.4
0.125,0.875,0.888,0.8961303462321792,0.8782435129740519,0.8870967741935484,0.5150000000000001,0.015000000000000124,0.375
0.30000000000000004,0.7,0.889,0.9045643153526971,0.8702594810379242,0.8870803662258393,0.5250000000000001,0.025000000000000133,0.19999999999999996
